geneID	enhancerID	beta
62	306	1
62	307	1
62	308	1
62	309	0.79
62	310	0.43
63	311	1
63	312	0.93
63	313	0.83
63	314	1
63	315	1
64	316	1
64	317	0.62
64	318	1
64	319	0.55
64	320	0.6
65	321	0.74
65	322	1
65	323	0.82
65	324	1
65	325	1
66	326	0.52
66	327	1
66	328	0.76
66	329	0.47
66	330	0.7
67	331	0.37
67	332	0.8
67	333	0.36
67	334	0.78
67	335	1
68	336	1
68	337	0.65
68	338	0.39
68	339	1
68	340	0.25
69	341	1
69	342	1
69	343	1
69	344	1
69	345	0.69
70	346	1
70	347	0.77
70	348	1
70	349	1
70	350	1
71	351	1
71	352	0.58
71	353	0.53
71	354	1
71	355	1
72	356	1
72	357	0.7
72	358	1
72	359	1
72	360	1
73	361	1
73	362	1
73	363	1
73	364	0.8
73	365	0.47
74	366	1
74	367	1
74	368	1
74	369	0.4
74	370	0.77
75	371	1
75	372	0.75
75	373	0.29
75	374	0.74
75	375	1
76	376	0.38
76	377	1
76	378	1
76	379	0.46
76	380	0.67
77	381	0.56
77	382	1
77	383	1
77	384	1
77	385	1
78	386	0.27
78	387	0.53
78	388	0.6
78	389	0.74
78	390	1
79	391	1
79	392	1
79	393	1
79	394	1
79	395	1
80	396	0.42
80	397	0.17
80	398	1
80	399	1
80	400	0.61
81	401	0.52
81	402	1
81	403	0.87
81	404	0.74
81	405	1
82	406	0.83
82	407	0.84
82	408	0.52
82	409	0.55
82	410	0.68
83	411	1
83	412	0.81
83	413	0.22
83	414	1
83	415	0.55
84	416	0.56
84	417	0.83
84	418	1
84	419	0.73
84	420	1
85	421	1
85	422	0.81
85	423	0.92
85	424	1
85	425	1
86	426	0.52
86	427	0.58
86	428	1
86	429	1
86	430	0.72
87	431	1
87	432	1
87	433	1
87	434	1
87	435	0.62
88	436	1
88	437	0.57
88	438	0.87
88	439	0.5
88	440	1
89	441	0.43
89	442	0.72
89	443	0.6
89	444	0.78
89	445	0.5
90	446	0.63
90	447	0.52
90	448	1
90	449	1
90	450	1
91	451	0.52
91	452	0.42
91	453	0.49
91	454	1
91	455	0.48
92	456	0.73
92	457	1
92	458	1
92	459	0.82
92	460	0.81
93	461	1
93	462	1
93	463	1
93	464	0.35
93	465	0.37
94	466	0.55
94	467	0.65
94	468	1
94	469	0.73
94	470	1
95	471	1
95	472	0.23
95	473	0.76
95	474	1
95	475	0.49
96	476	0.6
96	477	0.68
96	478	0.61
96	479	1
96	480	0.56
97	481	0.77
97	482	0.55
97	483	0.64
97	484	0.34
97	485	0.71
98	486	1
98	487	0.71
98	488	1
98	489	0.72
98	490	1
99	491	0.83
99	492	0.59
99	493	0.7
99	494	1
99	495	1
100	496	1
100	497	1
100	498	1
100	499	0.64
100	500	0.81
101	501	1
101	502	1
101	503	0.45
101	504	1
101	505	0.69
102	506	1
102	507	1
102	508	0.52
102	509	0.47
102	510	1
103	511	1
103	512	0.58
103	513	1
103	514	0.77
103	515	0.76
104	516	1
104	517	1
104	518	0.49
104	519	0.54
104	520	1
105	521	0.43
105	522	0.51
105	523	0.61
105	524	0.82
105	525	1
106	526	0.41
106	527	0.44
106	528	0.49
106	529	1
106	530	1
107	531	0.59
107	532	0.49
107	533	1
107	534	1
107	535	0.64
108	536	0.86
108	537	1
108	538	1
108	539	0.72
108	540	0.83
109	541	0.71
109	542	1
109	543	1
109	544	1
109	545	0.66
110	546	1
110	547	0.69
110	548	1
110	549	1
110	550	0.79
111	551	0.64
111	552	0.35
111	553	1
111	554	0.66
111	555	0.73
112	556	0.54
112	557	0.71
112	558	1
112	559	0.62
112	560	0.73
113	561	1
113	562	1
113	563	1
113	564	0.81
113	565	1
114	566	1
114	567	1
114	568	0.54
114	569	0.44
114	570	0.75
115	571	0.85
115	572	0.55
115	573	1
115	574	1
115	575	0.79
116	576	1
116	577	0.77
116	578	0.42
116	579	0.39
116	580	0.5
117	581	0.42
117	582	1
117	583	1
117	584	1
117	585	0.72
118	586	0.8
118	587	1
118	588	1
118	589	1
118	590	1
119	591	0.51
119	592	0.36
119	593	1
119	594	1
119	595	1
120	596	0.71
120	597	0.77
120	598	1
120	599	0.56
120	600	1
121	601	1
121	602	0.59
121	603	1
121	604	0.34
121	605	1
122	606	1
122	607	0.59
122	608	1
122	609	1
122	610	1
123	611	0.46
123	612	0.58
123	613	1
123	614	0.43
123	615	1
124	616	0.57
124	617	0.55
124	618	0.57
124	619	0.43
124	620	1
125	621	1
125	622	1
125	623	0.55
125	624	1
125	625	1
126	626	1
126	627	0.62
126	628	1
126	629	1
126	630	1
127	631	0.67
127	632	0.76
127	633	0.91
127	634	0.48
127	635	1
128	636	1
128	637	0.6
128	638	0.86
128	639	0.73
128	640	1
129	641	0.24
129	642	0.6
129	643	1
129	644	1
129	645	0.71
130	646	1
130	647	0.89
130	648	0.65
130	649	0.45
130	650	0.63
131	651	0.61
131	652	0.7
131	653	1
131	654	1
131	655	1
132	656	0.5
132	657	1
132	658	0.87
132	659	1
132	660	0.73
133	661	0.6
133	662	0.92
133	663	0.52
133	664	0.49
133	665	0.37
134	666	0.51
134	667	0.68
134	668	0.65
134	669	0.74
134	670	1
135	671	1
135	672	0.63
135	673	0.39
135	674	1
135	675	1
136	676	1
136	677	0.35
136	678	1
136	679	0.52
136	680	1
137	681	0.41
137	682	1
137	683	1
137	684	0.33
137	685	0.79
138	686	1
138	687	1
138	688	1
138	689	0.41
138	690	0.55
139	691	0.5
139	692	1
139	693	0.49
139	694	0.86
139	695	0.76
140	696	1
140	697	0.82
140	698	1
140	699	1
140	700	1
141	701	0.68
141	702	0.59
141	703	0.59
141	704	0.53
141	705	0.68
142	706	1
142	707	1
142	708	1
142	709	0.89
142	710	1
143	711	0.5
143	712	0.62
143	713	0.67
143	714	0.52
143	715	1
144	716	1
144	717	1
144	718	1
144	719	1
144	720	0.63
145	721	1
145	722	1
145	723	0.55
145	724	0.46
145	725	0.85
146	726	0.66
146	727	0.72
146	728	1
146	729	0.68
146	730	0.57
147	731	0.83
147	732	1
147	733	0.9
147	734	0.78
147	735	0.74
148	736	0.78
148	737	1
148	738	1
148	739	0.73
148	740	0.88
149	741	0.75
149	742	1
149	743	1
149	744	0.57
149	745	0.86
150	746	1
150	747	0.22
150	748	0.73
150	749	0.34
150	750	0.46
151	751	1
151	752	1
151	753	1
151	754	0.92
151	755	0.57
152	756	1
152	757	0.46
152	758	1
152	759	0.86
152	760	1
153	761	1
153	762	1
153	763	1
153	764	1
153	765	1
154	766	1
154	767	1
154	768	1
154	769	0.36
154	770	0.7
155	771	1
155	772	0.36
155	773	1
155	774	1
155	775	0.8
156	776	0.48
156	777	1
156	778	1
156	779	0.59
156	780	1
157	781	1
157	782	0.6
157	783	0.67
157	784	1
157	785	1
158	786	0.49
158	787	0.35
158	788	0.84
158	789	1
158	790	1
159	791	1
159	792	1
159	793	0.63
159	794	1
159	795	1
160	796	0.67
160	797	0.61
160	798	1
160	799	0.78
160	800	1
161	801	0.7
161	802	0.51
161	803	0.56
161	804	1
161	805	1
162	806	0.81
162	807	0.33
162	808	1
162	809	1
162	810	1
163	811	0.61
163	812	0.7
163	813	1
163	814	1
163	815	1
164	816	1
164	817	0.56
164	818	0.85
164	819	0.66
164	820	1
165	821	1
165	822	1
165	823	1
165	824	1
165	825	1
166	826	0.47
166	827	1
166	828	0.46
166	829	0.35
166	830	0.85
167	831	0.88
167	832	1
167	833	1
167	834	0.69
167	835	0.88
168	836	1
168	837	1
168	838	1
168	839	1
168	840	1
169	841	0.74
169	842	1
169	843	1
169	844	0.82
169	845	1
170	846	1
170	847	0.59
170	848	0.6
170	849	1
170	850	0.7
171	851	0.81
171	852	0.75
171	853	0.7
171	854	0.63
171	855	0.25
172	856	0.75
172	857	1
172	858	0.49
172	859	1
172	860	0.54
173	861	1
173	862	1
173	863	1
173	864	1
173	865	0.67
174	866	1
174	867	0.63
174	868	1
174	869	0.72
174	870	0.23
175	871	0.68
175	872	1
175	873	0.68
175	874	0.81
175	875	0.71
176	876	0.8
176	877	1
176	878	0.5
176	879	0.86
176	880	0.53
177	881	1
177	882	0.23
177	883	1
177	884	1
177	885	1
178	886	1
178	887	1
178	888	0.79
178	889	0.31
178	890	0.81
179	891	0.77
179	892	1
179	893	0.51
179	894	1
179	895	0.45
180	896	1
180	897	0.59
180	898	0.4
180	899	0.45
180	900	1
181	901	1
181	902	0.34
181	903	1
181	904	1
181	905	1
182	906	1
182	907	1
182	908	1
182	909	1
182	910	1
183	911	1
183	912	0.54
183	913	1
183	914	1
183	915	0.57
184	916	0.5
184	917	0.55
184	918	1
184	919	0.51
184	920	0.53
185	921	0.22
185	922	1
185	923	1
185	924	1
185	925	1
186	926	0.73
186	927	0.69
186	928	0.5
186	929	1
186	930	1
187	931	1
187	932	0.57
187	933	1
187	934	0.6
187	935	0.91
188	936	0.7
188	937	0.66
188	938	0.44
188	939	0.49
188	940	1
189	941	0.52
189	942	1
189	943	0.5
189	944	1
189	945	0.83
190	946	0.58
190	947	0.67
190	948	0.33
190	949	0.36
190	950	0.17
191	951	0.51
191	952	0.85
191	953	1
191	954	1
191	955	0.66
192	956	0.56
192	957	1
192	958	0.8
192	959	1
192	960	0.57
193	961	1
193	962	1
193	963	0.64
193	964	1
193	965	1
194	966	1
194	967	0.61
194	968	0.62
194	969	1
194	970	0.77
195	971	1
195	972	0.8
195	973	1
195	974	0.67
195	975	0.69
196	976	1
196	977	1
196	978	0.59
196	979	1
196	980	0.68
197	981	0.43
197	982	1
197	983	0.45
197	984	1
197	985	0.5
198	986	1
198	987	0.73
198	988	0.9
198	989	1
198	990	1
199	991	0.67
199	992	0.54
199	993	0.54
199	994	1
199	995	0.84
200	996	0.79
200	997	0.73
200	998	0.53
200	999	1
200	1000	0.42
201	1001	1
201	1002	1
201	1003	0.57
201	1004	1
201	1005	1
202	1006	0.6
202	1007	0.73
202	1008	0.81
202	1009	0.43
202	1010	0.75
203	1011	1
203	1012	0.64
203	1013	1
203	1014	1
203	1015	0.55
204	1016	0.43
204	1017	0.56
204	1018	1
204	1019	0.73
204	1020	1
205	1021	0.84
205	1022	0.8
205	1023	0.56
205	1024	1
205	1025	0.69
206	1026	1
206	1027	1
206	1028	0.9
206	1029	0.59
206	1030	1
207	1031	0.45
207	1032	0.57
207	1033	1
207	1034	1
207	1035	1
208	1036	1
208	1037	1
208	1038	1
208	1039	0.52
208	1040	0.75
209	1041	0.74
209	1042	1
209	1043	1
209	1044	0.73
209	1045	0.59
210	1046	0.59
210	1047	0.59
210	1048	1
210	1049	1
210	1050	1
211	1051	0.46
211	1052	0.69
211	1053	1
211	1054	0.62
211	1055	1
212	1056	0.69
212	1057	0.76
212	1058	0.7
212	1059	0.75
212	1060	0.37
213	1061	1
213	1062	1
213	1063	1
213	1064	1
213	1065	1
214	1066	1
214	1067	0.39
214	1068	0.48
214	1069	1
214	1070	0.58
215	1071	1
215	1072	1
215	1073	1
215	1074	1
215	1075	0.63
216	1076	1
216	1077	0.6
216	1078	0.63
216	1079	0.29
216	1080	0.67
217	1081	1
217	1082	0.83
217	1083	0.68
217	1084	0.81
217	1085	0.56
218	1086	1
218	1087	0.4
218	1088	1
218	1089	0.24
218	1090	1
219	1091	1
219	1092	0.45
219	1093	0.68
219	1094	1
219	1095	0.64
220	1096	1
220	1097	0.43
220	1098	1
220	1099	1
220	1100	1
221	1101	0.8
221	1102	0.36
221	1103	0.47
221	1104	0.32
221	1105	0.74
222	1106	1
222	1107	0.64
222	1108	0.52
222	1109	1
222	1110	0.82
223	1111	0.77
223	1112	1
223	1113	1
223	1114	1
223	1115	0.55
224	1116	1
224	1117	0.68
224	1118	1
224	1119	0.64
224	1120	1
225	1121	1
225	1122	1
225	1123	1
225	1124	0.75
225	1125	1
226	1126	1
226	1127	0.62
226	1128	0.55
226	1129	1
226	1130	1
227	1131	0.56
227	1132	1
227	1133	0.69
227	1134	0.76
227	1135	1
228	1136	1
228	1137	1
228	1138	1
228	1139	1
228	1140	1
229	1141	0.77
229	1142	0.76
229	1143	1
229	1144	0.64
229	1145	0.87
230	1146	1
230	1147	0.66
230	1148	1
230	1149	1
230	1150	0.61
231	1151	0.8
231	1152	0.7
231	1153	0.73
231	1154	0.7
231	1155	0.45
232	1156	1
232	1157	0.7
232	1158	1
232	1159	1
232	1160	0.53
233	1161	1
233	1162	0.56
233	1163	0.58
233	1164	0.63
233	1165	0.36
234	1166	0.52
234	1167	1
234	1168	1
234	1169	0.58
234	1170	0.31
235	1171	0.81
235	1172	0.76
235	1173	1
235	1174	1
235	1175	1
236	1176	1
236	1177	1
236	1178	0.61
236	1179	0.67
236	1180	1
237	1181	1
237	1182	1
237	1183	0.75
237	1184	1
237	1185	0.28
238	1186	1
238	1187	0.6
238	1188	0.65
238	1189	0.6
238	1190	0.58
239	1191	1
239	1192	1
239	1193	0.77
239	1194	0.77
239	1195	1
240	1196	0.66
240	1197	0.4
240	1198	0.92
240	1199	0.77
240	1200	0.59
241	1201	1
241	1202	0.48
241	1203	0.48
241	1204	0.83
241	1205	0.73
242	1206	0.74
242	1207	1
242	1208	1
242	1209	0.6
242	1210	0.53
243	1211	1
243	1212	0.54
243	1213	0.87
243	1214	1
243	1215	1
244	1216	0.43
244	1217	1
244	1218	1
244	1219	1
244	1220	0.57
245	1221	0.87
245	1222	0.55
245	1223	0.59
245	1224	0.78
245	1225	0.57
246	1226	0.57
246	1227	0.83
246	1228	1
246	1229	1
246	1230	0.66
247	1231	0.59
247	1232	0.85
247	1233	1
247	1234	0.83
247	1235	1
248	1236	1
248	1237	1
248	1238	0.55
248	1239	0.78
248	1240	0.65
249	1241	1
249	1242	1
249	1243	0.76
249	1244	0.93
249	1245	0.62
250	1246	1
250	1247	1
250	1248	0.63
250	1249	0.27
250	1250	0.61
251	1251	1
251	1252	1
251	1253	0.6
251	1254	0.69
251	1255	0.79
252	1256	1
252	1257	0.59
252	1258	1
252	1259	0.75
252	1260	1
253	1261	1
253	1262	0.82
253	1263	0.23
253	1264	1
253	1265	0.69
254	1266	0.56
254	1267	1
254	1268	0.93
254	1269	0.29
254	1270	0.47
255	1271	1
255	1272	0.31
255	1273	1
255	1274	0.78
255	1275	0.74
256	1276	0.54
256	1277	0.73
256	1278	0.46
256	1279	0.55
256	1280	1
257	1281	0.66
257	1282	0.8
257	1283	0.5
257	1284	1
257	1285	1
258	1286	0.64
258	1287	0.51
258	1288	1
258	1289	1
258	1290	0.79
259	1291	1
259	1292	1
259	1293	0.62
259	1294	0.79
259	1295	0.59
260	1296	0.64
260	1297	1
260	1298	1
260	1299	1
260	1300	1
261	1301	0.76
261	1302	0.58
261	1303	0.67
261	1304	0.58
261	1305	0.79
262	1306	0.79
262	1307	1
262	1308	1
262	1309	1
262	1310	1
263	1311	0.9
263	1312	1
263	1313	1
263	1314	0.76
263	1315	1
264	1316	0.51
264	1317	0.61
264	1318	1
264	1319	0.4
264	1320	1
265	1321	1
265	1322	1
265	1323	0.85
265	1324	1
265	1325	1
266	1326	1
266	1327	0.94
266	1328	0.63
266	1329	1
266	1330	1
267	1331	0.59
267	1332	0.65
267	1333	1
267	1334	0.36
267	1335	0.47
268	1336	1
268	1337	0.55
268	1338	0.57
268	1339	1
268	1340	1
269	1341	1
269	1342	1
269	1343	0.7
269	1344	1
269	1345	1
270	1346	0.55
270	1347	1
270	1348	0.75
270	1349	1
270	1350	0.58
271	1351	1
271	1352	1
271	1353	0.51
271	1354	1
271	1355	0.88
272	1356	0.69
272	1357	1
272	1358	1
272	1359	0.73
272	1360	1
273	1361	1
273	1362	0.34
273	1363	1
273	1364	1
273	1365	1
274	1366	0.36
274	1367	0.87
274	1368	0.73
274	1369	0.64
274	1370	0.51
275	1371	0.64
275	1372	1
275	1373	1
275	1374	1
275	1375	1
276	1376	1
276	1377	1
276	1378	0.75
276	1379	1
276	1380	1
277	1381	0.45
277	1382	0.46
277	1383	0.62
277	1384	1
277	1385	0.35
278	1386	0.4
278	1387	0.69
278	1388	0.22
278	1389	1
278	1390	1
279	1391	1
279	1392	1
279	1393	0.62
279	1394	0.48
279	1395	1
280	1396	0.54
280	1397	0.77
280	1398	1
280	1399	0.6
280	1400	1
281	1401	0.73
281	1402	1
281	1403	0.72
281	1404	1
281	1405	0.6
282	1406	1
282	1407	1
282	1408	0.58
282	1409	1
282	1410	1
283	1411	0.61
283	1412	0.61
283	1413	1
283	1414	0.62
283	1415	1
284	1416	1
284	1417	1
284	1418	0.85
284	1419	0.82
284	1420	0.55
285	1421	1
285	1422	0.71
285	1423	0.35
285	1424	0.61
285	1425	1
286	1426	1
286	1427	1
286	1428	1
286	1429	1
286	1430	1
287	1431	0.66
287	1432	0.55
287	1433	0.22
287	1434	1
287	1435	0.73
288	1436	1
288	1437	1
288	1438	0.94
288	1439	1
288	1440	0.58
289	1441	0.78
289	1442	1
289	1443	0.67
289	1444	0.64
289	1445	0.62
290	1446	1
290	1447	1
290	1448	1
290	1449	1
290	1450	0.7
291	1451	0.66
291	1452	1
291	1453	0.6
291	1454	1
291	1455	1
292	1456	0.52
292	1457	1
292	1458	0.77
292	1459	1
292	1460	0.69
293	1461	1
293	1462	1
293	1463	1
293	1464	0.81
293	1465	1
294	1466	0.56
294	1467	1
294	1468	1
294	1469	1
294	1470	1
295	1471	1
295	1472	1
295	1473	0.67
295	1474	1
295	1475	0.64
296	1476	1
296	1477	0.61
296	1478	1
296	1479	1
296	1480	0.36
297	1481	1
297	1482	0.79
297	1483	0.7
297	1484	1
297	1485	1
298	1486	0.57
298	1487	0.52
298	1488	1
298	1489	0.69
298	1490	0.54
299	1491	0.57
299	1492	0.49
299	1493	0.78
299	1494	0.8
299	1495	0.52
300	1496	1
300	1497	0.84
300	1498	0.7
300	1499	0.57
300	1500	0.76
301	1501	0.39
301	1502	0.57
301	1503	0.59
301	1504	1
301	1505	0.4
302	1506	0.61
302	1507	0.84
302	1508	1
302	1509	0.54
302	1510	0.67
303	1511	0.68
303	1512	0.54
303	1513	0.84
303	1514	0.44
303	1515	1
304	1516	1
304	1517	1
304	1518	1
304	1519	0.34
304	1520	0.8
305	1521	1
305	1522	1
305	1523	1
305	1524	1
305	1525	1
306	1526	1
306	1527	1
306	1528	0.59
306	1529	0.37
306	1530	1
307	1531	1
307	1532	1
307	1533	0.67
307	1534	0.44
307	1535	0.54
308	1536	1
308	1537	0.41
308	1538	0.84
308	1539	1
308	1540	1
309	1541	1
309	1542	1
309	1543	0.67
309	1544	1
309	1545	0.85
310	1546	0.65
310	1547	1
310	1548	0.6
310	1549	0.38
310	1550	1
311	1551	1
311	1552	1
311	1553	1
311	1554	1
311	1555	1
312	1556	0.65
312	1557	1
312	1558	0.58
312	1559	1
312	1560	1
313	1561	0.78
313	1562	0.61
313	1563	0.62
313	1564	1
313	1565	0.64
314	1566	0.77
314	1567	1
314	1568	1
314	1569	0.41
314	1570	1
315	1571	0.88
315	1572	0.8
315	1573	1
315	1574	1
315	1575	0.74
316	1576	0.97
316	1577	1
316	1578	0.73
316	1579	1
316	1580	1
317	1581	1
317	1582	0.85
317	1583	1
317	1584	0.51
317	1585	0.76
318	1586	1
318	1587	1
318	1588	1
318	1589	1
318	1590	0.74
319	1591	0.48
319	1592	1
319	1593	1
319	1594	1
319	1595	1
320	1596	0.41
320	1597	1
320	1598	0.8
320	1599	0.79
320	1600	1
321	1601	0.76
321	1602	0.53
321	1603	0.6
321	1604	1
321	1605	1
322	1606	1
322	1607	1
322	1608	1
322	1609	1
322	1610	0.68
323	1611	0.35
323	1612	0.96
323	1613	1
323	1614	0.52
323	1615	0.53
324	1616	1
324	1617	0.65
324	1618	1
324	1619	0.44
324	1620	0.61
325	1621	1
325	1622	1
325	1623	1
325	1624	1
325	1625	1
326	1626	1
326	1627	1
326	1628	1
326	1629	1
326	1630	0.59
327	1631	0.69
327	1632	0.45
327	1633	0.55
327	1634	1
327	1635	1
328	1636	0.53
328	1637	0.76
328	1638	0.69
328	1639	0.59
328	1640	1
329	1641	0.81
329	1642	0.39
329	1643	0.84
329	1644	0.45
329	1645	1
330	1646	0.77
330	1647	1
330	1648	0.66
330	1649	1
330	1650	0.81
331	1651	0.75
331	1652	1
331	1653	0.75
331	1654	1
331	1655	0.53
332	1656	0.47
332	1657	0.68
332	1658	0.29
332	1659	0.66
332	1660	1
333	1661	0.44
333	1662	1
333	1663	0.42
333	1664	0.68
333	1665	0.82
334	1666	0.27
334	1667	0.77
334	1668	1
334	1669	1
334	1670	1
335	1671	1
335	1672	1
335	1673	0.6
335	1674	1
335	1675	0.48
336	1676	0.5
336	1677	1
336	1678	1
336	1679	1
336	1680	1
337	1681	1
337	1682	1
337	1683	1
337	1684	1
337	1685	1
338	1686	0.55
338	1687	1
338	1688	1
338	1689	0.67
338	1690	0.72
339	1691	0.71
339	1692	1
339	1693	0.48
339	1694	1
339	1695	0.56
340	1696	0.58
340	1697	1
340	1698	1
340	1699	0.39
340	1700	0.82
341	1701	0.52
341	1702	1
341	1703	1
341	1704	1
341	1705	1
342	1706	0.78
342	1707	0.55
342	1708	1
342	1709	1
342	1710	1
343	1711	0.57
343	1712	1
343	1713	1
343	1714	1
343	1715	0.73
344	1716	0.66
344	1717	0.48
344	1718	0.64
344	1719	0.79
344	1720	0.48
345	1721	0.39
345	1722	0.13
345	1723	0.68
345	1724	1
345	1725	1
346	1726	0.56
346	1727	0.74
346	1728	0.55
346	1729	0.47
346	1730	1
347	1731	0.85
347	1732	0.49
347	1733	0.53
347	1734	0.5
347	1735	0.54
348	1736	0.77
348	1737	0.82
348	1738	0.78
348	1739	1
348	1740	1
349	1741	0.62
349	1742	0.76
349	1743	1
349	1744	1
349	1745	1
350	1746	0.44
350	1747	0.52
350	1748	1
350	1749	1
350	1750	1
351	1751	0.76
351	1752	1
351	1753	0.81
351	1754	0.71
351	1755	0.6
352	1756	1
352	1757	1
352	1758	0.55
352	1759	0.7
352	1760	0.46
353	1761	0.59
353	1762	1
353	1763	0.97
353	1764	0.87
353	1765	0.52
354	1766	1
354	1767	1
354	1768	0.72
354	1769	0.23
354	1770	1
355	1771	0.79
355	1772	0.62
355	1773	1
355	1774	1
355	1775	1
356	1776	1
356	1777	1
356	1778	0.92
356	1779	0.85
356	1780	0.9
357	1781	1
357	1782	1
357	1783	1
357	1784	1
357	1785	0.75
358	1786	1
358	1787	0.51
358	1788	1
358	1789	1
358	1790	1
359	1791	0.79
359	1792	0.68
359	1793	0.82
359	1794	1
359	1795	1
360	1796	0.41
360	1797	0.75
360	1798	1
360	1799	0.92
360	1800	0.75
361	1801	1
361	1802	0.34
361	1803	1
361	1804	0.2
361	1805	0.43
362	1806	0.69
362	1807	0.37
362	1808	1
362	1809	1
362	1810	0.93
363	1811	0.49
363	1812	0.7
363	1813	1
363	1814	0.43
363	1815	0.69
364	1816	1
364	1817	1
364	1818	1
364	1819	1
364	1820	0.77
365	1821	0.72
365	1822	1
365	1823	1
365	1824	1
365	1825	0.88
366	1826	1
366	1827	1
366	1828	0.48
366	1829	0.3
366	1830	0.53
367	1831	1
367	1832	0.89
367	1833	0.67
367	1834	0.67
367	1835	1
368	1836	1
368	1837	0.51
368	1838	1
368	1839	0.56
368	1840	1
369	1841	0.51
369	1842	1
369	1843	0.52
369	1844	1
369	1845	0.72
370	1846	1
370	1847	1
370	1848	0.6
370	1849	0.52
370	1850	1
371	1851	1
371	1852	0.38
371	1853	1
371	1854	1
371	1855	1
372	1856	1
372	1857	0.57
372	1858	1
372	1859	0.63
372	1860	1
373	1861	0.34
373	1862	1
373	1863	0.51
373	1864	1
